match_number,match_id,team,Accurate passes,Aerial duels,Ball possession,Big chances,Big chances missed,Big chances scored,Blocked shots,Clearances,Corner kicks,Crosses,Dispossessed,Dribbles,Duels,Expected goals,Final third entries,Fouled in final third,Free kicks,Goal kicks,Goalkeeper saves,Ground duels,Hit woodwork,Interceptions,Long balls,Offsides,Passes,Recoveries,Red cards,Shots inside box,Shots off target,Shots on target,Shots outside box,Tackles,Tackles won,Through balls,Throw-ins,Total saves,Total shots,Total tackles,Yellow cards
236,12436928,fulham,131,6/11 (55%),45%,1,0,1,5,18,5,5/14 (36%),2,4/5 (80%),51%,1.34,23,1,3,3,1,13/26 (50%),0,6,13/26 (50%),0,167,29,,7,2,4,4,6,67%,0,6,1,11,6,2
237,12436932,wolves,80,2/10 (20%),26%,0,0,0,0,19,0,0/1 (0%),4,5/10 (50%),45%,0.18,11,2,4,2,3,22/43 (51%),0,8,6/18 (33%),4,104,24,,1,1,1,1,13,46%,0,5,3,2,13,1
237,12436932,aston-villa,268,8/10 (80%),74%,1,1,0,3,3,2,0/12 (0%),6,4/11 (36%),55%,0.36,40,3,8,5,0,21/43 (49%),0,2,9/12 (75%),3,301,14,,4,1,3,3,9,67%,1,10,0,7,9,0
238,12436916,brentford,207,10/17 (59%),60%,2,2,0,1,4,5,7/23 (30%),8,3/8 (38%),51%,1.04,36,2,3,4,0,19/40 (48%),1,1,15/22 (68%),0,246,26,,6,8,2,5,13,62%,0,11,0,11,13,0
238,12436916,tottenham,143,7/17 (41%),40%,1,0,1,0,24,1,0/3 (0%),8,5/10 (50%),49%,0.48,22,0,3,9,1,21/40 (53%),0,4,12/24 (50%),1,178,22,,2,2,1,1,13,62%,2,6,1,3,13,0
239,12436925,man-utd,210,8/17 (47%),66%,0,0,0,3,5,5,2/13 (15%),5,3/11 (27%),46%,0.43,34,2,7,4,0,18/40 (45%),0,7,14/29 (48%),0,261,32,,3,2,2,4,8,63%,0,12,0,7,8,3
239,12436925,crystal-palace,89,9/17 (53%),34%,2,0,2,0,27,0,0/1 (0%),7,3/4 (75%),54%,1.47,27,1,7,4,2,22/40 (55%),1,8,4/24 (17%),0,139,36,,3,2,2,1,13,46%,1,9,2,4,13,1
240,12436913,arsenal,198,4/5 (80%),53%,0,0,0,2,7,4,1/9 (11%),8,6/8 (75%),60%,0.55,21,2,3,2,0,17/30 (57%),0,3,11/19 (58%),1,220,20,,6,1,5,2,8,38%,1,6,0,8,8,1
240,12436913,man-city,176,1/5 (20%),47%,1,0,1,0,13,0,0/2 (0%),6,1/3 (33%),40%,0.36,18,1,2,3,1,13/30 (43%),0,2,8/17 (47%),0,201,16,,1,0,1,0,10,60%,0,6,1,1,10,0
241,12436919,chelsea,262,9/16 (56%),72%,1,0,1,6,10,1,2/10 (20%),3,3/6 (50%),57%,0.79,33,0,4,5,2,20/35 (57%),0,1,8/21 (38%),0,311,21,,7,3,1,3,13,85%,0,12,2,10,13,3
241,12436919,west-ham,79,7/16 (44%),28%,1,1,0,3,16,1,3/8 (38%),5,3/11 (27%),43%,1.03,21,0,6,7,1,15/35 (43%),1,7,8/27 (30%),1,114,21,,6,5,2,4,6,50%,0,5,1,10,6,1
242,12436937,brighton,144,7/16 (44%),33%,4,4,0,1,18,0,1/2 (50%),6,5/10 (50%),48%,1.07,19,1,10,2,1,22/44 (50%),1,8,11/26 (42%),1,184,25,,6,5,3,3,9,78%,0,5,1,9,9,1
242,12436937,chelsea,318,9/16 (56%),67%,0,0,0,1,2,6,0/14 (0%),3,4/10 (40%),52%,0.14,27,1,7,6,2,22/44 (50%),0,3,8/17 (47%),1,360,22,,2,1,0,0,11,9%,0,5,2,2,11,1
243,12436943,leicester,96,8/17 (47%),43%,0,0,0,1,13,3,4/12 (33%),6,8/11 (73%),52%,0.08,29,0,5,4,2,25/46 (54%),0,6,7/26 (27%),1,146,24,,1,1,1,2,13,46%,0,12,2,3,13,2
243,12436943,arsenal,160,9/17 (53%),57%,2,0,2,2,17,5,2/12 (17%),8,5/10 (50%),48%,0.98,19,1,7,2,1,21/46 (46%),2,2,6/12 (50%),0,192,24,,4,1,4,3,9,67%,1,9,1,7,9,1
244,12436934,aston-villa,314,6/10 (60%),86%,4,3,1,5,3,12,3/19 (16%),5,6/13 (46%),57%,1.49,32,3,7,1,0,18/32 (56%),1,3,6/8 (75%),2,343,24,0,11,7,5,6,5,60%,0,5,0,17,5,0
244,12436934,ipswich,22,4/10 (40%),14%,0,0,0,0,19,1,2/3 (67%),3,2/4 (50%),43%,0.12,13,0,0,9,5,14/32 (44%),0,7,6/26 (23%),0,56,15,0,1,0,1,0,12,33%,0,9,5,1,12,3
245,12436940,fulham,130,8/14 (57%),43%,2,1,1,4,18,6,3/17 (18%),3,0/2 (0%),44%,0.94,22,2,5,3,1,9/25 (36%),0,4,16/26 (62%),1,159,24,,13,4,5,0,4,100%,,5,1,13,4,
245,12436940,forest,181,6/14 (43%),57%,0,0,0,3,16,3,4/14 (29%),2,5/7 (71%),56%,0.26,27,1,6,3,4,16/25 (64%),0,2,13/25 (52%),1,216,19,,4,2,1,2,5,60%,,8,4,6,5,
246,12436948,man-city,284,3/5 (60%),64%,1,0,1,2,9,3,4/6 (67%),6,3/12 (25%),46%,0.80,29,2,8,1,1,16/36 (44%),0,2,14/20 (70%),0,303,19,,2,0,3,3,5,80%,,4,1,5,5,0
246,12436948,newcastle,139,2/5 (40%),36%,0,0,0,0,11,2,2/7 (29%),4,1/2 (50%),54%,0.41,9,1,4,0,2,20/36 (56%),0,1,4/10 (40%),2,165,22,,1,0,1,0,15,53%,,6,2,1,15,1
247,12436950,southampton,177,12/23 (52%),50%,1,1,0,4,11,4,4/14 (29%),6,9/14 (64%),55%,0.74,28,3,10,3,3,31/55 (56%),0,6,9/20 (45%),,217,25,,7,2,4,3,12,67%,1,6,3,10,12,0
247,12436950,bournemouth,183,11/23 (48%),50%,1,1,0,2,16,2,1/7 (14%),7,6/11 (55%),45%,0.43,29,0,7,2,3,24/55 (44%),0,4,15/34 (44%),,225,24,,5,0,3,0,11,45%,1,10,3,5,11,1
248,12436956,west-ham,213,10/19 (53%),60%,1,1,0,5,7,7,3/18 (17%),6,4/8 (50%),57%,0.65,30,3,8,0,1,26/44 (59%),1,1,5/17 (29%),1,250,25,,5,3,2,5,14,43%,0,10,1,10,14,0
248,12436956,brentford,127,9/19 (47%),40%,0,0,0,1,17,1,2/7 (29%),10,3/7 (43%),43%,0.20,25,0,5,5,2,18/44 (41%),0,3,13/33 (39%),0,173,22,,3,1,1,0,10,50%,0,6,2,3,10,0
249,12436939,crystal-palace,187,13/29 (45%),57%,1,0,1,4,19,5,4/12 (33%),7,2/5 (40%),49%,1.23,32,1,7,2,3,18/34 (53%),0,1,4/26 (15%),1,248,26,,7,5,3,5,9,67%,1,10,3,12,9,0
249,12436939,everton,137,16/29 (55%),43%,1,1,0,4,32,2,2/9 (22%),4,3/8 (38%),51%,0.72,34,2,3,6,2,16/34 (47%),0,7,17/36 (47%),1,186,23,,5,0,4,3,10,30%,0,9,2,8,10,1
250,12436945,liverpool,183,3/7 (43%),47%,0,0,0,0,11,0,2/2 (100%),4,2/8 (25%),45%,0.00,23,0,6,6,2,18/40 (45%),0,10,13/26 (50%),4,215,18,,0,0,0,0,10,50%,1,13,2,0,10,1
250,12436945,wolves,206,4/7 (57%),53%,1,1,0,4,6,2,1/6 (17%),0,6/16 (38%),55%,1.11,26,2,6,1,0,22/40 (55%),0,2,7/16 (44%),1,243,23,,4,3,3,6,10,70%,1,9,0,10,10,0
251,12436952,tottenham,160,4/8 (50%),44%,0,0,0,8,16,8,6/18 (33%),9,10/21 (48%),46%,1.22,23,2,2,5,4,20/44 (45%),0,2,2/10 (20%),0,191,30,,14,5,4,3,8,38%,1,6,4,17,8,1
251,12436952,man-utd,205,4/8 (50%),56%,1,1,0,3,12,4,6/17 (35%),7,1/2 (50%),54%,0.87,30,0,4,4,4,24/44 (55%),0,7,13/26 (50%),3,245,33,,8,1,4,0,20,65%,1,5,4,8,20,1
252,12436623,leicester,155,5/12 (42%),42%,0,0,0,2,14,1,0/12 (0%),3,3/6 (50%),40%,0.10,16,1,5,4,2,12/30 (40%),0,9,5/13 (38%),1,181,19,,1,1,0,2,4,50%,0,7,2,3,4,1
252,12436623,brentford,217,7/12 (58%),58%,1,1,0,4,11,5,4/11 (36%),1,8/11 (73%),60%,0.56,29,1,4,3,0,18/30 (60%),0,3,16/27 (59%),0,253,25,,6,1,3,2,6,100%,0,6,0,8,6,0
253,12436625,everton,92,11/23 (48%),33%,2,2,0,1,22,4,4/12 (33%),6,2/8 (25%),45%,0.45,30,0,5,2,1,19/43 (44%),0,5,12/27 (44%),0,131,25,,4,0,4,1,12,67%,0,6,1,5,12,3
253,12436625,man-utd,235,12/23 (52%),67%,1,1,0,4,18,5,2/14 (14%),6,5/11 (45%),55%,0.37,27,4,8,1,4,24/43 (56%),0,6,14/28 (50%),0,275,33,,3,0,3,4,12,50%,2,6,4,7,12,1
254,12436960,arsenal,276,7/17 (41%),72%,0,0,0,5,3,1,5/19 (26%),4,2/5 (40%),54%,0.76,33,3,11,2,1,23/39 (59%),0,3,5/10 (50%),0,303,22,1,9,5,1,2,11,36%,,7,1,11,11,1
254,12436960,west-ham,89,10/17 (59%),28%,0,0,0,0,27,0,0/3 (0%),7,1/5 (20%),46%,0.03,24,1,9,7,1,16/39 (41%),0,5,12/35 (34%),1,122,19,0,1,0,1,0,7,29%,,7,1,1,7,3
255,12436958,bournemouth,130,7/17 (41%),40%,0,0,0,1,15,3,2/16 (13%),7,6/15 (40%),39%,0.06,37,1,5,2,3,17/45 (38%),0,5,16/30 (53%),1,174,34,0,1,0,0,0,6,33%,0,9,3,1,6,2
255,12436958,wolves,230,10/17 (59%),60%,1,1,0,2,20,7,0/10 (0%),5,4/5 (80%),61%,0.95,29,0,8,5,0,28/45 (62%),0,6,5/27 (19%),1,282,35,0,4,2,2,2,16,63%,1,6,0,6,16,1
256,12436624,fulham,256,6/9 (67%),67%,0,0,,3,10,3,2/14 (14%),9,2/9 (22%),39%,0.16,40,2,5,2,2,13/40 (33%),0,7,15/32 (47%),0,306,32,,3,4,0,4,6,33%,0,10,2,7,6,0
256,12436624,crystal-palace,106,3/9 (33%),33%,2,2,,1,16,3,1/4 (25%),2,7/11 (64%),61%,1.06,31,0,4,4,0,27/40 (68%),0,5,13/32 (41%),1,154,30,,4,0,3,0,16,38%,1,9,0,4,16,2
257,12436629,ipswich,176,0/4 (0%),49%,0,0,0,4,2,3,4/14 (29%),6,0/2 (0%),50%,0.22,27,3,8,4,0,21/38 (55%),0,3,9/26 (35%),1,210,21,,3,1,0,2,13,38%,,6,0,5,13,0
257,12436629,tottenham,205,4/4 (100%),51%,0,0,0,1,10,2,1/2 (50%),9,1/5 (20%),50%,0.20,19,1,8,1,0,17/38 (45%),0,2,9/20 (45%),0,234,22,,3,0,2,0,8,50%,,4,0,3,8,0
258,12436965,southampton,133,8/17 (47%),40%,0,0,0,1,10,2,1/5 (20%),2,4/9 (44%),39%,0.09,18,0,3,2,6,10/29 (34%),0,8,9/30 (30%),1,175,28,,2,1,1,1,3,67%,0,5,6,3,3,1
258,12436965,brighton,226,9/17 (53%),60%,6,4,2,1,10,4,3/8 (38%),3,7/7 (100%),61%,2.74,31,1,5,3,1,19/29 (66%),1,4,9/25 (36%),0,269,25,,10,1,9,1,7,29%,2,7,1,11,7,0
259,12436621,aston-villa,214,3/7 (43%),57%,2,1,1,2,10,2,1/7 (14%),6,8/13 (62%),48%,1.48,23,2,8,4,3,21/43 (49%),0,5,5/10 (50%),0,243,26,,6,1,4,1,6,50%,1,7,3,7,6,1
259,12436621,chelsea,155,4/7 (57%),43%,1,1,0,0,13,1,0/6 (0%),2,5/9 (56%),52%,0.77,21,0,7,4,2,22/43 (51%),0,4,6/21 (29%),0,183,24,,3,2,4,3,11,45%,2,7,2,6,11,3
260,12436963,newcastle,136,12/16 (75%),45%,0,0,0,2,25,2,1/3 (33%),7,5/11 (45%),54%,0.15,20,0,7,9,0,22/47 (47%),1,7,9/25 (36%),1,179,31,,3,1,0,0,11,82%,,7,0,3,11,1
260,12436963,forest,160,4/16 (25%),55%,4,2,2,5,6,4,7/17 (41%),1,4/14 (29%),46%,1.56,34,2,9,1,0,25/47 (53%),0,2,6/23 (26%),0,214,31,,8,5,2,4,13,62%,,14,0,12,13,3
261,12436627,man-city,314,3/6 (50%),64%,0,0,,4,6,3,2/8 (25%),6,10/16 (63%),47%,0.46,45,1,4,1,2,15/32 (47%),0,2,6/15 (40%),0,345,30,,5,2,2,3,2,50%,0,8,2,8,2,
261,12436627,liverpool,149,3/6 (50%),36%,1,1,,1,19,3,2/6 (33%),2,3/3 (100%),53%,0.37,13,0,2,8,2,17/32 (53%),0,2,8/24 (33%),2,188,29,,4,2,2,1,12,83%,1,3,2,5,12,
