match_number,match_id,team,Accurate passes,Aerial duels,Ball possession,Big chances,Big chances missed,Big chances scored,Big saves,Blocked shots,Clearances,Corner kicks,Crosses,Dispossessed,Dribbles,Duels,Errors lead to a goal,Errors lead to a shot,Expected goals,Final third entries,Final third phase,Fouled in final third,Fouls,Free kicks,Goal kicks,Goalkeeper saves,Goals prevented,Ground duels,High claims,Hit woodwork,Interceptions,Long balls,Offsides,Passes,Penalty saves,Punches,Recoveries,Red cards,Shots inside box,Shots off target,Shots on target,Shots outside box,Tackles,Tackles won,Through balls,Throw-ins,Total saves,Total shots,Total tackles,Touches in penalty area,Yellow cards
1,12436870,man-utd,408,19/35 (54%),55%,4,4,,1,2,20,7,3/18 (17%),13,8/19 (42%),50%,,0,2.43,46,114/147 (78%),3,12,10,6,2,0.92,39/82 (48%),2,0,19,23/40 (58%),3,482,,0,65,,7,7,5,7,21,67%,1,15,2,14,21,22,2
1,12436870,fulham,306,16/35 (46%),45%,0,0,,0,4,19,8,6/21 (29%),9,8/20 (40%),50%,,2,0.44,40,57/87 (66%),4,10,11,10,4,1.07,43/82 (52%),0,0,9,17/39 (44%),1,384,,1,61,,6,4,2,4,24,71%,0,15,4,10,24,22,3
2,12436871,ipswich,272,11/29 (38%),38%,0,0,0,,3,28,2,2/8 (25%),4,3/8 (38%),53%,,0,0.45,41,54/93 (58%),2,9,17,6,3,0.35,40/68 (59%),1,0,9,19/47 (40%),5,347,,,46,,5,2,2,2,20,50%,0,14,3,7,20,17,3
2,12436871,liverpool,492,18/29 (62%),62%,6,4,2,,7,16,10,4/23 (17%),9,11/22 (50%),47%,,1,2.65,47,115/152 (76%),2,18,8,4,2,0.24,28/68 (41%),0,0,5,30/56 (54%),0,570,,,45,,12,6,5,6,9,44%,4,24,2,18,9,50,1
3,12436872,arsenal,357,17/30 (57%),53%,2,1,1,2,6,15,8,3/15 (20%),9,9/19 (47%),50%,,2,1.24,40,94/118 (80%),1,17,14,6,3,0.19,41/85 (48%),1,0,8,17/37 (46%),0,420,,0,38,,12,6,6,6,18,72%,,18,3,18,18,50,2
3,12436872,wolves,307,13/30 (43%),47%,1,1,0,1,1,14,2,4/14 (29%),10,8/16 (50%),50%,,0,0.47,56,67/93 (72%),2,14,17,8,4,-0.30,44/85 (52%),1,0,7,20/49 (41%),1,375,,2,42,,6,5,3,3,19,63%,,15,4,9,19,18,2
4,12436873,everton,266,18/31 (58%),38%,0,0,0,2,4,11,1,4/17 (24%),10,5/16 (31%),53%,,1,0.45,69,59/103 (57%),1,8,8,4,2,-0.63,36/71 (51%),1,0,13,45/82 (55%),7,344,,0,52,1,6,4,1,3,23,48%,,27,2,9,23,18,1
4,12436873,brighton,492,13/31 (42%),62%,2,1,1,0,2,19,5,4/14 (29%),11,6/18 (33%),47%,,1,1.43,36,71/104 (68%),3,8,8,12,1,0.05,35/71 (49%),0,1,8,20/43 (47%),1,575,,2,51,0,9,3,5,1,21,62%,,14,1,10,21,29,1
5,12436874,newcastle,117,7/16 (44%),22%,1,0,1,1,2,34,3,1/12 (8%),8,1/6 (17%),48%,0,,0.25,31,34/66 (52%),2,15,16,10,3,0.42,33/67 (49%),0,0,4,12/39 (31%),1,181,,0,39,1,3,0,1,0,16,88%,,11,3,3,16,14,2
5,12436874,southampton,579,9/16 (56%),78%,3,3,0,0,11,14,12,4/30 (13%),9,6/13 (46%),52%,1,,1.77,67,185/222 (83%),4,16,15,3,0,-0.37,34/67 (51%),2,0,3,19/26 (73%),2,649,,1,41,0,13,4,4,6,13,46%,,18,0,19,13,48,4
6,12436875,forest,402,25/40 (63%),53%,1,0,1,0,3,25,2,3/13 (23%),8,9/19 (47%),55%,0,,1.30,51,137/184 (74%),1,17,8,13,3,0.19,41/81 (51%),,0,7,22/51 (43%),1,503,,1,53,,8,3,8,6,24,50%,,23,3,14,24,29,1
6,12436875,bournemouth,335,15/40 (38%),47%,3,2,1,2,3,29,6,4/25 (16%),14,5/15 (33%),45%,1,,1.22,63,89/136 (65%),3,8,17,6,7,0.85,40/81 (49%),,0,14,25/67 (37%),4,432,,2,64,,6,6,4,7,18,39%,,18,7,13,18,23,3
7,12436877,west-ham,352,14/27 (52%),52%,4,3,1,1,4,22,5,5/25 (20%),18,4/10 (40%),41%,,,2.46,39,55/79 (70%),2,18,11,7,1,-0.67,29/78 (37%),1,0,6,27/52 (52%),1,417,,1,47,,11,7,3,3,14,71%,0,14,1,14,14,26,1
7,12436877,aston-villa,329,13/27 (48%),48%,4,2,2,1,6,20,3,3/15 (20%),7,8/15 (53%),59%,,,2.03,51,81/117 (69%),3,11,18,6,3,0.32,49/78 (63%),1,1,7,19/42 (45%),1,394,,0,48,,10,6,3,5,24,63%,1,19,3,15,24,23,2
8,12436879,brentford,311,19/33 (58%),46%,3,2,1,3,1,21,4,4/17 (24%),14,5/13 (38%),56%,,0,1.59,45,62/105 (59%),3,6,15,8,6,0.02,39/70 (56%),1,0,11,35/62 (56%),1,403,,1,56,,8,3,5,1,19,53%,1,14,6,9,19,13,1
8,12436879,crystal-palace,389,14/33 (42%),54%,1,1,0,0,4,29,7,1/14 (7%),5,3/17 (18%),44%,,1,1.17,59,87/131 (66%),3,15,6,10,3,1.11,31/70 (44%),0,0,5,16/53 (30%),3,481,,0,54,,6,4,6,8,22,59%,1,18,3,14,22,21,5
9,12436880,chelsea,436,3/8 (38%),48%,1,1,0,3,4,13,4,6/18 (33%),9,4/11 (36%),43%,,1,1.01,47,120/144 (83%),0,12,9,6,3,-1.18,33/76 (43%),1,0,10,17/35 (49%),2,490,,,47,,6,3,3,4,20,70%,0,17,3,10,20,26,1
9,12436880,man-city,477,5/8 (63%),52%,1,0,1,0,3,17,3,1/11 (9%),12,15/23 (65%),57%,,0,0.77,37,110/141 (78%),1,9,12,5,3,0.70,43/76 (57%),0,0,10,17/35 (49%),1,535,,,48,,6,3,5,5,16,56%,1,18,3,11,16,27,1
10,12436881,leicester,211,8/17 (47%),30%,2,1,1,1,1,38,2,8/15 (53%),14,7/16 (44%),47%,,,1.05,34,35/57 (61%),2,11,12,6,5,0.92,41/88 (47%),0,0,10,9/37 (24%),2,275,,,47,,6,3,3,1,22,68%,2,16,5,7,22,11,1
10,12436881,tottenham,601,9/17 (53%),70%,2,2,0,2,5,16,13,8/28 (29%),11,13/24 (54%),53%,,,1.18,70,193/227 (85%),6,12,11,6,2,0.32,47/88 (53%),1,0,6,13/22 (59%),1,671,,,51,,12,3,7,3,23,57%,0,18,2,15,23,62,1
11,12436888,brighton,407,9/15 (60%),48%,2,0,2,,3,10,4,6/12 (50%),5,10/24 (42%),53%,,,2.09,52,86/126 (68%),4,9,13,5,2,-0.57,39/76 (51%),2,1,7,30/43 (70%),0,477,,0,52,,10,6,5,4,17,71%,0,19,2,14,17,33,1
11,12436888,man-utd,446,6/15 (40%),52%,2,2,0,,2,10,4,3/12 (25%),8,10/19 (53%),47%,,,1.43,44,69/93 (74%),1,13,8,4,2,0.53,37/76 (49%),0,0,12,24/38 (63%),6,511,,1,62,,8,5,4,3,19,58%,1,14,2,11,19,28,2
12,12436892,crystal-palace,454,13/36 (36%),58%,2,2,,,4,9,3,4/20 (20%),9,3/14 (21%),45%,,,1.35,77,111/158 (70%),3,9,16,10,1,-1.09,42/85 (49%),0,2,9,30/66 (45%),3,552,,,51,,8,8,2,6,23,48%,2,17,1,14,23,23,1
12,12436892,west-ham,302,23/36 (64%),42%,1,1,,,5,25,3,4/14 (29%),14,14/23 (61%),55%,,,1.39,57,41/76 (54%),0,17,9,13,2,0.26,43/85 (51%),1,0,15,31/68 (46%),2,393,,,57,,13,10,3,5,20,60%,2,13,2,18,20,21,1
13,12436894,fulham,459,17/30 (57%),54%,3,1,2,1,5,7,7,7/21 (33%),12,4/13 (31%),46%,,0,1.78,66,135/178 (76%),3,14,12,5,3,0.72,29/71 (41%),1,0,8,25/47 (53%),0,538,,1,50,,13,7,6,5,14,71%,,21,3,18,14,31,2
13,12436894,leicester,381,13/30 (43%),46%,1,0,1,1,2,30,5,5/12 (42%),7,7/14 (50%),54%,,1,0.61,37,26/52 (50%),1,13,14,12,4,-0.12,42/71 (59%),2,0,7,17/43 (40%),5,454,,0,47,,6,4,4,4,21,67%,,10,4,10,21,10,2
14,12436898,man-city,700,5/12 (42%),75%,5,2,3,,3,8,10,5/17 (29%),10,11/18 (61%),61%,0,,3.34,72,297/340 (87%),5,4,15,1,0,-0.71,40/62 (65%),,2,6,22/27 (81%),3,755,,,34,,9,6,5,5,14,43%,2,20,0,14,14,49,2
14,12436898,ipswich,200,7/12 (58%),25%,1,0,1,,0,40,1,1/6 (17%),8,2/8 (25%),39%,2,,0.29,21,22/35 (63%),0,15,3,6,1,-0.53,22/62 (35%),,0,10,10/34 (29%),1,245,,,29,,0,0,1,1,17,47%,1,10,1,1,17,6,3
15,12436900,southampton,596,4/15 (27%),65%,0,0,0,1,3,17,4,2/14 (14%),12,7/19 (37%),43%,,2,0.14,45,112/145 (77%),2,14,13,9,7,0.63,38/83 (46%),1,0,2,11/24 (46%),0,656,,,47,,2,1,1,3,18,67%,0,13,7,5,18,21,3
15,12436900,forest,294,11/15 (73%),35%,6,5,1,0,7,23,10,5/19 (26%),7,7/18 (39%),57%,,0,2.45,40,90/116 (78%),1,14,14,4,1,0.02,45/83 (54%),2,0,11,25/48 (52%),1,352,,,53,,14,8,8,9,24,63%,1,11,1,23,24,33,3
16,12436902,tottenham,540,11/25 (44%),71%,6,3,3,0,1,11,12,6/20 (30%),16,7/20 (35%),48%,0,1,2.43,51,133/169 (79%),1,11,15,2,1,0.14,44/89 (49%),1,0,4,19/32 (59%),0,609,,0,53,,9,5,7,4,22,73%,2,19,1,13,22,33,
16,12436902,everton,188,14/25 (56%),29%,0,0,0,1,6,15,5,7/15 (47%),6,5/21 (24%),52%,1,0,1.00,44,42/76 (55%),1,15,11,6,3,-1.44,45/89 (51%),0,0,15,25/52 (48%),4,251,,1,48,,10,3,1,0,29,66%,0,15,3,10,29,24,
17,12436886,aston-villa,271,10/17 (59%),39%,2,2,,1,5,16,4,3/10 (30%),10,11/18 (61%),60%,,1,1.28,28,57/78 (73%),0,8,16,9,2,-1.10,48/79 (61%),1,1,4,16/38 (42%),3,329,,0,41,,7,3,3,4,22,45%,1,11,2,11,22,17,1
17,12436886,arsenal,469,7/17 (41%),61%,2,2,,2,1,15,1,1/13 (8%),13,6/15 (40%),40%,,1,0.87,48,124/151 (82%),1,16,8,6,3,1.05,31/79 (39%),0,0,8,18/30 (60%),1,514,,1,38,,5,4,4,4,17,53%,1,12,3,9,17,35,3
18,12436884,bournemouth,245,13/23 (57%),39%,2,1,1,2,5,34,8,4/19 (21%),9,2/14 (14%),44%,0,,2.26,60,88/128 (69%),3,20,8,9,4,1.65,31/77 (40%),1,1,6,27/65 (42%),,321,,0,65,,11,7,4,5,21,76%,0,18,4,16,21,27,2
18,12436884,newcastle,393,10/23 (43%),61%,4,3,1,1,5,17,9,8/26 (31%),14,6/13 (46%),56%,1,,1.69,58,91/130 (70%),2,8,19,9,3,0.12,46/77 (60%),1,0,4,24/55 (44%),,495,,3,65,,12,4,5,2,21,57%,1,25,3,14,21,32,2
19,12436904,wolves,253,8/13 (62%),40%,5,3,2,1,2,19,5,1/13 (8%),6,8/16 (50%),54%,,0,1.96,34,45/72 (63%),4,13,13,4,2,-2.76,40/76 (53%),0,2,9,17/40 (43%),3,320,,,46,,8,6,4,4,19,53%,1,19,2,12,19,25,2
19,12436904,chelsea,426,5/13 (38%),60%,5,1,4,0,3,18,5,1/11 (9%),10,9/18 (50%),46%,,2,1.68,41,86/113 (76%),5,13,13,11,2,-1.23,36/76 (47%),2,1,9,23/44 (52%),1,495,,,45,,10,3,8,4,14,79%,1,13,2,14,14,21,3
20,12436896,liverpool,550,6/14 (43%),62%,4,2,2,0,7,11,9,3/15 (20%),5,8/13 (62%),53%,,,2.65,62,171/194 (88%),1,10,7,5,2,0.78,32/58 (55%),,2,7,22/46 (48%),1,602,,1,50,,17,4,8,2,17,59%,,18,2,19,17,42,2
20,12436896,brentford,298,8/14 (57%),38%,2,2,0,2,3,16,4,4/10 (40%),4,6/19 (32%),47%,,,0.55,36,57/83 (69%),1,7,10,4,6,0.81,26/58 (45%),,0,5,25/47 (53%),2,364,,1,50,,4,3,2,4,10,60%,,20,6,8,10,10,3
21,12436906,arsenal,200,14/33 (42%),36%,5,4,1,1,2,20,3,2/7 (29%),11,8/15 (53%),44%,,1,2.14,37,42/76 (55%),1,12,7,10,3,-0.38,32/71 (45%),5,0,12,21/51 (41%),3,270,,1,47,1,10,2,7,1,17,65%,2,13,3,11,17,31,5
21,12436906,brighton,404,19/33 (58%),64%,3,2,1,0,8,11,7,7/26 (27%),5,10/22 (45%),56%,,0,1.76,48,134/158 (85%),5,7,12,5,6,1.36,39/71 (55%),0,0,5,30/40 (75%),1,471,,0,49,0,15,10,4,7,18,39%,1,14,6,22,18,33,2
22,12436908,brentford,310,9/12 (75%),37%,6,3,3,,6,19,2,2/13 (15%),10,6/11 (55%),53%,0,,2.78,43,102/127 (80%),2,10,7,4,5,-0.30,30/62 (48%),,1,11,23/34 (68%),1,358,,,47,,15,7,7,5,17,76%,1,22,5,20,17,42,2
22,12436908,southampton,548,3/12 (25%),63%,2,2,0,,5,17,8,4/20 (20%),12,7/12 (58%),47%,3,,1.57,57,155/181 (86%),1,7,10,9,4,0.16,32/62 (52%),,1,9,16/44 (36%),2,621,,,47,,9,7,6,9,15,67%,2,13,4,18,15,31,1
23,12436912,everton,257,23/40 (58%),47%,5,3,2,1,2,21,8,7/21 (33%),17,10/19 (53%),53%,,,1.99,70,81/139 (58%),3,6,11,8,4,-0.45,37/74 (50%),,1,12,37/76 (49%),2,349,,1,61,,13,8,8,5,17,65%,1,20,4,18,17,37,2
23,12436912,bournemouth,300,17/40 (43%),53%,5,2,3,0,5,23,4,11/24 (46%),6,5/16 (31%),47%,,,2.37,53,70/109 (64%),0,11,6,14,6,-0.41,37/74 (50%),,0,7,21/61 (34%),2,392,,0,57,,12,5,7,5,26,38%,0,19,6,17,26,28,1
24,12436915,ipswich,345,11/23 (48%),49%,1,1,0,0,4,30,8,5/16 (31%),9,10/12 (83%),49%,,,0.45,50,79/106 (75%),3,15,15,4,3,0.12,38/78 (49%),0,0,4,19/39 (49%),4,401,,1,45,,6,3,4,5,13,69%,1,7,3,11,13,13,2
24,12436915,fulham,359,12/23 (52%),51%,2,1,1,2,3,11,6,5/26 (19%),7,14/20 (70%),51%,,,0.95,40,74/96 (77%),1,15,15,7,3,-0.59,40/78 (51%),1,0,6,21/52 (40%),0,418,,0,35,,9,2,4,0,11,64%,0,23,3,9,11,19,3
25,12436918,leicester,457,9/19 (47%),58%,1,0,1,2,1,18,1,4/18 (22%),10,6/13 (46%),52%,,0,0.45,60,76/104 (73%),4,13,21,4,3,0.34,49/92 (53%),0,0,11,18/34 (53%),3,513,,1,50,,3,5,3,6,22,50%,0,6,3,9,22,16,4
25,12436918,aston-villa,318,10/19 (53%),42%,4,2,2,0,2,25,4,3/10 (30%),15,13/20 (65%),48%,,1,1.55,33,52/82 (63%),1,21,13,10,2,-0.60,43/92 (47%),2,0,7,22/38 (58%),1,383,,0,45,,8,3,5,2,17,59%,2,15,2,10,17,22,5
26,12436926,forest,293,14/30 (47%),52%,1,1,,0,6,13,7,5/23 (22%),15,8/16 (50%),48%,,,1.04,50,84/110 (76%),3,15,17,7,1,-0.42,42/86 (49%),0,0,10,26/55 (47%),4,367,,1,45,,13,5,5,3,17,71%,0,17,1,16,17,37,3
26,12436926,wolves,279,16/30 (53%),48%,2,2,,2,2,25,3,1/7 (14%),11,8/14 (57%),52%,,,0.74,48,61/93 (66%),6,18,13,7,4,0.73,44/86 (51%),1,0,10,22/50 (44%),0,359,,0,47,,4,6,3,7,23,61%,2,17,4,11,23,13,4
27,12436927,west-ham,284,9/16 (56%),32%,1,1,0,1,3,20,3,4/14 (29%),10,10/15 (67%),42%,1,0,0.73,42,70/96 (73%),1,10,2,8,5,-0.12,23/60 (38%),1,2,6,19/34 (56%),0,340,,1,37,,7,5,2,3,11,55%,0,19,5,10,11,24,3
27,12436927,man-city,670,7/16 (44%),68%,5,3,2,1,5,18,11,8/22 (36%),8,12/15 (80%),58%,0,1,3.00,73,225/258 (87%),1,3,10,6,2,-0.81,37/60 (62%),0,1,7,34/47 (72%),1,726,,1,46,,19,10,8,4,15,80%,3,11,2,23,15,58,2
28,12436910,chelsea,532,10/17 (59%),63%,5,4,1,0,1,17,4,3/19 (16%),6,11/24 (46%),53%,,,2.37,76,116/157 (74%),3,9,13,2,2,0.08,37/71 (52%),1,1,8,26/41 (63%),0,590,,0,51,,8,5,7,5,13,54%,1,14,2,13,13,20,4
28,12436910,crystal-palace,276,7/17 (41%),37%,0,0,0,1,5,28,4,3/9 (33%),6,6/13 (46%),47%,,,0.54,41,47/79 (59%),2,13,9,11,6,1.76,34/71 (48%),1,0,6,19/49 (39%),1,350,,1,43,,4,1,3,5,19,58%,0,17,6,9,19,22,2
29,12436923,newcastle,183,11/25 (44%),34%,2,0,2,4,3,31,7,5/12 (42%),12,8/18 (44%),44%,,1,1.83,37,41/68 (60%),2,16,13,9,6,0.57,36/83 (43%),1,1,14,12/45 (27%),2,261,,0,45,,6,3,3,3,17,47%,1,16,6,9,17,14,4
29,12436923,tottenham,421,14/25 (56%),66%,2,2,0,1,8,14,12,4/27 (15%),4,10/23 (43%),56%,,0,1.26,61,185/235 (79%),6,13,16,3,1,0.14,47/83 (57%),1,1,7,7/28 (25%),4,500,,2,53,,9,6,6,11,22,73%,0,20,1,20,22,50,4
30,12436920,man-utd,421,5/18 (28%),53%,3,3,0,0,0,10,5,6/19 (32%),11,8/21 (38%),51%,3,1,1.36,44,77/106 (73%),1,7,7,8,0,-0.56,47/83 (57%),0,0,7,15/39 (38%),0,507,,0,55,,5,5,3,3,32,63%,,26,0,8,32,31,4
30,12436920,liverpool,391,13/18 (72%),47%,6,3,3,1,1,28,2,3/6 (50%),18,5/19 (26%),49%,0,0,1.79,40,80/115 (70%),0,7,7,5,3,0.64,36/83 (43%),1,0,10,13/38 (34%),2,464,,1,58,,10,7,3,1,24,71%,,22,3,11,24,30,1
31,12436949,southampton,421,4/11 (36%),44%,3,3,0,1,1,16,0,1/7 (14%),9,4/17 (24%),43%,,,1.12,37,69/89 (78%),2,11,12,5,7,1.04,37/84 (44%),1,0,11,13/32 (41%),,480,0,,40,1,6,1,4,0,21,67%,0,11,7,6,21,18,1
31,12436949,man-utd,556,7/11 (64%),56%,5,3,2,0,7,11,7,2/9 (22%),14,14/21 (67%),57%,,,2.67,53,117/144 (81%),0,14,11,3,3,1.01,47/84 (56%),0,0,12,18/32 (56%),,611,1,,49,0,11,3,10,9,22,59%,4,17,3,20,22,38,4
32,12436936,brighton,490,17/36 (47%),69%,3,3,,,10,6,9,5/29 (17%),10,10/25 (40%),49%,,0,1.66,70,115/159 (72%),5,14,16,5,1,0.07,45/91 (49%),1,0,9,28/39 (72%),1,570,,0,54,,10,5,6,11,19,58%,0,14,1,21,19,39,4
32,12436936,ipswich,184,19/36 (53%),31%,1,1,,,1,34,2,2/6 (33%),8,8/19 (42%),51%,,1,0.35,34,23/47 (49%),0,16,14,8,6,2.45,46/91 (51%),3,1,11,15/46 (33%),3,261,,3,55,,3,4,1,3,25,56%,2,15,6,6,25,8,3
33,12436938,crystal-palace,503,21/33 (64%),67%,4,2,2,,10,12,5,5/27 (19%),14,4/9 (44%),55%,1,1,2.55,67,138/173 (80%),3,11,14,5,2,0.21,42/82 (51%),0,0,8,39/61 (64%),3,595,,0,54,,16,6,4,4,24,63%,0,17,2,20,24,41,0
33,12436938,leicester,203,12/33 (36%),33%,3,1,2,,1,20,2,2/8 (25%),18,11/17 (65%),45%,0,0,1.23,45,36/78 (46%),1,15,10,6,2,-0.17,40/82 (49%),1,0,8,17/54 (31%),0,293,,1,49,,7,4,4,2,19,42%,2,24,2,9,19,16,3
34,12436941,fulham,316,21/31 (68%),55%,4,3,1,,8,21,3,9/22 (41%),9,12/21 (57%),61%,,,1.54,47,86/124 (69%),3,15,18,6,2,-0.12,59/101 (58%),,0,13,26/55 (47%),3,395,,,47,,17,8,5,4,30,63%,,28,2,21,30,29,2
34,12436941,west-ham,258,10/31 (32%),45%,1,1,0,,3,24,2,5/16 (31%),24,9/15 (60%),39%,,,0.76,45,72/96 (75%),5,18,15,13,4,-0.21,42/101 (42%),,0,10,18/48 (38%),2,333,,,45,,7,5,3,4,18,56%,,26,4,11,18,13,3
35,12436944,liverpool,507,21/34 (62%),69%,1,1,,2,3,16,7,9/19 (47%),9,6/19 (32%),45%,,0,0.94,71,142/192 (74%),0,15,6,4,2,-0.26,24/66 (36%),,1,11,25/55 (45%),0,604,,0,48,,10,6,5,4,12,67%,0,31,2,14,12,34,4
35,12436944,forest,189,13/34 (38%),31%,2,2,,0,0,30,2,0/6 (0%),7,6/11 (55%),55%,,2,0.44,60,59/100 (59%),1,6,15,12,5,0.57,42/66 (64%),,0,11,22/64 (34%),5,273,,1,53,,3,2,3,2,22,68%,1,20,5,5,22,5,4
36,12436946,man-city,485,6/17 (35%),54%,2,1,1,0,5,12,12,1/15 (7%),12,3/11 (27%),36%,2,1,2.17,52,243/282 (86%),2,9,3,3,5,1.28,18/49 (37%),0,1,5,25/36 (69%),1,544,,1,41,,10,6,7,8,12,42%,1,19,5,18,12,51,3
36,12436946,brentford,398,11/17 (65%),46%,1,0,1,1,1,22,3,6/12 (50%),6,3/9 (33%),64%,1,0,0.96,36,55/80 (69%),0,3,8,6,5,0.09,31/49 (63%),1,1,9,29/60 (48%),1,468,,1,41,,6,2,5,2,20,75%,1,9,5,8,20,20,1
37,12436933,aston-villa,602,9/20 (45%),73%,6,4,2,,3,9,6,7/21 (33%),16,6/14 (43%),47%,1,1,2.12,97,201/237 (85%),3,10,12,1,0,-0.86,37/77 (48%),2,0,4,20/38 (53%),1,665,,0,44,,13,6,8,4,20,75%,2,18,0,17,20,31,1
37,12436933,everton,182,11/20 (55%),27%,2,1,1,,1,28,2,6/12 (50%),8,7/19 (37%),53%,1,0,0.90,39,39/65 (60%),2,12,9,10,4,-0.64,40/77 (52%),0,1,6,21/45 (47%),3,240,,1,45,,5,3,2,1,24,67%,2,13,4,6,24,15,4
38,12436931,bournemouth,193,15/26 (58%),33%,1,1,0,1,4,18,6,4/17 (24%),6,9/15 (60%),48%,,1,1.78,57,64/111 (58%),3,16,9,2,2,0.19,32/72 (44%),0,2,10,22/51 (43%),4,276,0,1,63,,10,8,7,9,14,57%,0,17,2,19,14,28,6
38,12436931,chelsea,494,11/26 (42%),67%,1,0,1,3,4,18,3,1/8 (13%),8,12/18 (67%),52%,,0,0.78,50,96/125 (77%),2,9,16,10,7,2.48,40/72 (56%),1,0,6,19/47 (40%),3,579,1,1,56,,6,3,3,4,12,58%,1,23,7,10,12,21,8
39,12436951,tottenham,437,14/29 (48%),64%,0,0,0,2,6,24,7,8/31 (26%),8,7/20 (35%),46%,,0,0.71,62,147/174 (84%),3,13,10,3,3,0.38,37/81 (46%),0,0,9,14/30 (47%),2,494,,2,45,,10,4,5,5,20,65%,,22,3,15,20,29,5
39,12436951,arsenal,213,15/29 (52%),36%,2,1,1,1,3,32,6,4/13 (31%),12,12/20 (60%),54%,,1,0.74,37,54/84 (64%),0,10,13,7,5,0.28,44/81 (54%),2,0,9,19/46 (41%),3,282,,0,43,,7,0,4,0,21,57%,,16,5,7,21,24,3
40,12436954,wolves,362,8/21 (38%),49%,2,1,1,1,2,18,4,5/21 (24%),6,15/23 (65%),49%,,0,1.23,50,76/103 (74%),0,17,6,8,4,-0.26,44/86 (51%),1,1,10,28/54 (52%),3,433,,,42,,10,5,5,2,23,61%,2,21,4,12,23,27,3
40,12436954,newcastle,415,13/21 (62%),51%,2,2,0,1,4,22,7,2/13 (15%),15,12/20 (60%),51%,,1,1.52,63,131/162 (81%),1,6,16,6,4,0.26,42/86 (49%),1,1,5,13/33 (39%),2,471,,,38,,8,4,6,6,14,64%,1,16,4,14,14,23,3
41,12436980,west-ham,444,10/20 (50%),53%,0,0,0,1,5,10,6,6/29 (21%),8,9/20 (45%),45%,,0,0.85,68,108/144 (75%),3,17,9,4,2,-0.27,33/75 (44%),0,0,8,20/35 (57%),2,498,,1,50,,8,3,7,7,16,38%,1,9,2,15,16,36,5
41,12436980,chelsea,393,10/20 (50%),47%,5,2,3,0,3,34,5,3/8 (38%),11,6/11 (55%),55%,,1,2.19,37,68/91 (75%),0,9,17,7,7,0.82,42/75 (56%),3,0,8,23/47 (49%),1,454,,2,49,,11,4,5,1,19,47%,2,8,7,12,19,32,2
42,12436957,aston-villa,393,7/17 (41%),53%,5,2,3,1,3,15,6,4/17 (24%),12,9/20 (45%),47%,1,,1.73,58,118/149 (79%),6,11,15,1,3,0.12,39/80 (49%),,0,5,8/21 (38%),1,447,,,43,,6,2,4,3,15,67%,1,11,3,9,15,31,3
42,12436957,wolves,341,10/17 (59%),47%,0,0,0,0,5,19,5,6/11 (55%),7,7/15 (47%),53%,0,,0.51,26,66/84 (79%),2,16,11,7,0,-1.24,41/80 (51%),,0,10,21/47 (45%),5,398,,,40,,8,1,4,2,23,39%,0,12,0,10,23,19,6
43,12436964,fulham,283,6/22 (27%),39%,5,3,2,0,2,21,6,7/17 (41%),2,4/11 (36%),44%,0,1,2.29,54,99/139 (71%),1,16,8,12,4,0.04,31/62 (50%),1,1,6,12/41 (29%),1,344,,,44,,18,9,11,4,19,47%,1,14,4,22,19,38,6
43,12436964,newcastle,506,16/22 (73%),61%,1,1,0,2,3,15,0,4/12 (33%),14,7/12 (58%),56%,2,1,1.54,52,101/128 (79%),1,8,16,11,8,0.17,31/62 (50%),0,0,10,18/36 (50%),6,560,,,45,,12,8,5,4,9,56%,2,19,8,16,9,21,0
44,12436967,leicester,389,17/29 (59%),59%,2,1,1,1,3,13,6,8/29 (28%),9,8/17 (47%),56%,,,0.66,55,105/145 (72%),4,11,12,8,4,0.48,44/80 (55%),1,0,4,25/43 (58%),2,460,,0,47,,10,7,2,2,24,71%,0,25,4,12,24,29,1
44,12436967,everton,271,12/29 (41%),41%,3,3,0,0,6,30,1,4/14 (29%),11,7/20 (35%),44%,,,1.10,53,83/116 (72%),3,12,11,11,1,-0.03,36/80 (45%),2,1,9,27/51 (53%),5,335,,1,53,,13,6,5,4,18,72%,3,24,1,17,18,25,2
45,12436969,liverpool,519,9/15 (60%),59%,4,2,2,2,3,21,3,2/8 (25%),15,16/21 (76%),55%,0,1,2.06,57,102/132 (77%),3,10,11,7,7,1.53,47/87 (54%),1,1,6,24/41 (59%),0,584,,0,52,,14,3,13,5,20,70%,1,19,7,19,20,33,1
45,12436969,bournemouth,332,6/15 (40%),41%,2,2,0,2,4,16,9,4/24 (17%),8,11/23 (48%),45%,1,0,1.08,42,80/105 (76%),3,12,9,2,9,0.84,40/87 (46%),1,1,7,24/46 (52%),3,389,,1,57,,12,9,6,7,20,55%,1,19,9,19,20,32,4
46,12436973,southampton,428,9/27 (33%),54%,4,3,1,2,3,33,2,0/9 (0%),12,10/15 (67%),46%,,,2.49,43,59/82 (72%),3,16,16,7,5,2.05,41/82 (50%),1,1,15,15/36 (42%),3,492,,,39,,9,5,3,2,16,44%,3,10,5,11,16,23,4
46,12436973,ipswich,350,18/27 (67%),46%,2,2,0,0,3,15,10,5/23 (22%),8,8/16 (50%),54%,,,1.69,46,86/119 (72%),2,16,16,1,2,0.23,41/82 (50%),2,0,13,17/31 (55%),1,409,,,42,,8,4,6,5,17,47%,1,14,2,13,17,24,4
