match_number,match_id,team,Accurate passes,Aerial duels,Ball possession,Big chances,Big chances missed,Big chances scored,Big saves,Blocked shots,Clearances,Corner kicks,Crosses,Dispossessed,Dribbles,Duels,Errors lead to a goal,Errors lead to a shot,Expected goals,Final third entries,Final third phase,Fouled in final third,Fouls,Free kicks,Goal kicks,Goalkeeper saves,Goals prevented,Ground duels,High claims,Hit woodwork,Interceptions,Long balls,Offsides,Passes,Penalty saves,Punches,Recoveries,Red cards,Shots inside box,Shots off target,Shots on target,Shots outside box,Tackles,Tackles won,Through balls,Throw-ins,Total saves,Total shots,Total tackles,Touches in penalty area,Yellow cards
189,12436510,chelsea,655,16/31 (52%),76%,4,4,0,1,8,14,7,2/19 (11%),10,4/11 (36%),49%,1,1,2.00,80,185/219 (84%),4,5,9,6,4,0.42,22/46 (48%),0,2,5,16/33 (48%),2,729,,,47,,13,7,5,7,11,45%,1,21,4,20,11,36,4
190,12436522,man-utd,508,10/19 (53%),53%,2,2,0,,4,10,2,2/11 (18%),9,4/14 (29%),50%,,0,0.90,70,104/142 (73%),1,13,8,5,2,-0.32,37/75 (49%),0,1,8,27/53 (51%),1,587,,1,59,,7,5,1,3,26,62%,,14,2,10,26,17,1
190,12436522,newcastle,444,9/19 (47%),47%,4,3,1,,4,16,3,4/12 (33%),13,6/19 (32%),50%,,1,1.92,43,114/143 (80%),2,8,13,6,0,0.00,38/75 (51%),1,1,8,26/56 (46%),4,518,,0,58,,7,4,4,5,19,84%,,18,0,12,19,19,1
191,12436410,brentford,399,12/31 (39%),51%,0,,0,,1,27,4,2/15 (13%),9,4/11 (36%),41%,,,0.32,56,83/123 (67%),1,6,8,8,1,0.16,22/51 (43%),1,0,6,37/77 (48%),0,485,,1,45,,4,2,2,1,10,70%,0,10,1,5,10,10,1
191,12436410,arsenal,388,19/31 (61%),49%,2,,2,,5,22,3,6/20 (30%),5,8/13 (62%),59%,,,1.91,55,167/208 (80%),0,8,6,6,1,-0.45,29/51 (57%),2,0,6,13/37 (35%),6,465,,0,57,,11,4,5,3,16,56%,2,8,1,14,16,47,2
192,12436519,tottenham,377,22/42 (52%),57%,1,0,1,2,3,17,9,4/25 (16%),11,5/11 (45%),54%,1,2,0.94,52,123/165 (75%),2,11,15,8,2,0.20,42/76 (55%),4,1,9,17/41 (41%),2,466,,0,49,,9,6,4,4,25,80%,0,14,2,13,25,25,1
192,12436519,newcastle,284,20/42 (48%),43%,4,2,2,0,7,30,10,3/15 (20%),15,7/17 (41%),46%,0,0,2.53,39,88/120 (73%),1,15,11,5,3,0.23,34/76 (45%),1,0,9,18/37 (49%),1,359,,1,46,,11,3,4,3,17,59%,1,22,3,14,17,28,4
193,12436523,aston-villa,551,12/18 (67%),61%,3,2,1,0,5,15,6,3/18 (17%),13,6/15 (40%),53%,1,,1.56,48,113/146 (77%),1,10,11,4,1,-0.20,36/73 (49%),4,1,10,21/37 (57%),1,616,,,44,,8,3,5,5,19,58%,0,18,1,13,19,25,0
193,12436523,leicester,335,6/18 (33%),39%,3,2,1,1,0,16,2,2/11 (18%),9,5/15 (33%),47%,1,,0.41,40,42/72 (58%),1,11,10,6,3,-0.37,37/73 (51%),1,0,11,12/34 (35%),1,397,,,42,,3,2,2,1,22,55%,1,17,3,4,22,9,1
194,12436518,bournemouth,338,25/37 (68%),58%,5,5,,0,4,34,9,7/33 (21%),12,7/11 (64%),53%,,0,1.84,64,96/137 (70%),1,15,14,9,0,0.00,36/79 (46%),1,0,10,26/60 (43%),1,437,,0,56,,12,7,8,7,15,80%,2,23,0,19,15,35,2
194,12436518,everton,217,12/37 (32%),42%,1,1,,2,0,31,3,1/13 (8%),10,13/18 (72%),47%,,1,0.71,64,85/141 (60%),3,14,15,7,7,2.02,43/79 (54%),0,0,13,29/81 (36%),0,323,,2,58,,5,9,0,4,16,63%,0,29,7,9,16,16,2
195,12436419,crystal-palace,260,17/25 (68%),38%,2,1,1,0,5,20,6,5/19 (26%),7,4/9 (44%),62%,0,0,1.08,48,39/73 (53%),2,9,12,12,0,-0.33,40/67 (60%),1,0,7,33/61 (54%),2,345,,2,52,,10,2,6,3,26,62%,0,15,0,13,26,20,0
195,12436419,chelsea,487,8/25 (32%),62%,2,1,1,1,4,13,6,3/14 (21%),15,6/17 (35%),38%,1,1,1.24,62,120/163 (74%),4,12,9,2,5,0.02,27/67 (40%),1,0,8,39/67 (58%),0,566,,1,64,,11,10,1,4,12,42%,1,18,5,15,12,32,2
196,12436508,man-city,496,7/21 (33%),56%,3,0,3,0,3,17,7,1/12 (8%),10,6/9 (67%),49%,0,,1.91,42,108/132 (82%),0,8,13,11,3,0.22,31/57 (54%),0,0,6,20/36 (56%),1,556,,,41,,7,0,7,3,12,67%,1,13,3,10,12,28,2
196,12436508,west-ham,372,14/21 (67%),44%,3,2,1,1,3,17,1,7/12 (58%),3,6/15 (40%),51%,2,,1.37,37,69/92 (75%),1,13,8,3,4,-1.47,26/57 (46%),1,0,7,28/47 (60%),2,433,,,44,,14,10,4,3,13,69%,2,16,4,17,13,23,1
197,12436520,southampton,398,18/33 (55%),51%,0,0,0,1,2,22,2,1/13 (8%),9,12/23 (52%),50%,3,2,0.29,46,122/145 (84%),0,10,4,6,5,-0.52,31/65 (48%),2,0,4,19/46 (41%),1,465,,,53,,3,5,1,5,15,53%,0,7,5,8,15,19,2
197,12436520,brentford,393,15/33 (45%),49%,11,6,5,0,2,17,2,2/11 (18%),8,5/12 (42%),50%,0,0,4.46,55,136/172 (79%),2,4,9,8,1,0.65,34/65 (52%),3,1,5,14/34 (41%),2,458,,,54,,18,7,11,2,20,55%,1,10,1,20,20,37,0
198,12436528,brighton,368,13/26 (50%),45%,3,2,1,,3,22,2,2/10 (20%),5,12/21 (57%),49%,,0,1.52,42,66/94 (70%),3,17,13,5,2,-0.64,36/73 (49%),1,0,8,18/38 (47%),0,427,,,54,,6,4,4,5,11,91%,0,9,2,11,11,17,2
198,12436528,arsenal,456,13/26 (50%),55%,5,4,1,,2,8,5,3/15 (20%),5,7/13 (54%),51%,,1,0.88,60,103/132 (78%),4,14,17,5,3,0.87,37/73 (51%),0,1,5,22/43 (51%),3,519,,,55,,6,4,3,3,14,50%,2,10,3,9,14,23,3
199,12436525,fulham,602,24/44 (55%),73%,4,2,2,1,7,13,9,4/35 (11%),4,12/19 (63%),59%,1,,2.24,65,196/237 (83%),4,10,12,4,1,-0.62,43/69 (62%),0,0,2,18/40 (45%),0,681,,,40,,10,4,4,5,17,53%,0,29,1,15,17,32,1
199,12436525,ipswich,196,20/44 (45%),27%,3,1,2,0,1,47,2,2/7 (29%),10,6/13 (46%),41%,0,,1.59,39,42/71 (59%),3,14,9,7,2,0.19,26/69 (38%),2,2,15,17/53 (32%),1,260,,,43,,5,3,3,2,11,55%,1,11,2,7,11,14,5
200,12436514,liverpool,364,11/19 (58%),53%,4,3,1,0,5,29,6,3/17 (18%),11,13/22 (59%),47%,,,2.82,58,111/145 (77%),2,10,12,3,2,-1.62,31/71 (44%),1,0,14,16/47 (34%),0,438,,4,44,,15,8,6,4,6,33%,2,19,2,19,6,33,2
200,12436514,man-utd,287,8/19 (42%),47%,3,2,1,1,8,26,9,6/22 (27%),1,10/15 (67%),53%,,,1.05,37,63/97 (65%),1,13,10,13,4,-0.06,40/71 (56%),1,0,13,28/61 (46%),4,383,,2,45,,11,1,4,2,20,40%,3,16,4,13,20,31,4
201,12436437,wolves,466,12/28 (43%),61%,2,2,0,0,5,24,5,8/30 (27%),9,4/13 (31%),44%,,1,1.59,73,136/186 (73%),1,10,8,9,0,-0.29,25/57 (44%),,0,10,22/37 (59%),1,549,,1,45,,9,2,6,4,13,46%,0,18,0,13,13,35,1
201,12436437,forest,286,16/28 (57%),39%,4,2,2,1,2,35,3,2/10 (20%),6,4/11 (36%),56%,,2,2.13,51,72/113 (64%),0,8,10,8,5,0.98,32/57 (56%),,0,10,21/50 (42%),4,361,,3,50,,8,6,3,3,18,67%,1,15,5,11,18,23,2
202,12436436,brentford,335,16/33 (48%),45%,4,3,1,2,3,20,4,5/20 (25%),7,4/9 (44%),47%,,1,2.58,53,95/134 (71%),2,4,4,12,6,0.25,18/40 (45%),0,0,9,26/52 (50%),4,415,,,42,,16,9,6,2,10,60%,,14,6,18,10,41,
202,12436436,man-city,449,17/33 (52%),55%,5,3,2,3,2,30,5,7/20 (35%),5,6/11 (55%),53%,,0,2.20,37,218/254 (86%),0,4,4,7,3,-0.50,22/40 (55%),1,1,9,27/45 (60%),0,519,,,42,,15,11,8,6,12,50%,,15,3,21,12,45,
